distance,bank_angle
781.840772,-0.299645
782.840568,-0.299597
783.840365,-0.299547
784.840161,-0.299494
785.839957,-0.299438
786.839754,-0.299379
787.83955,-0.299316
788.839347,-0.299249
789.839143,-0.299177
790.838939,-0.2991
791.838736,-0.299019
792.838532,-0.298931
793.838328,-0.298839
794.838125,-0.29874
795.837921,-0.298634
796.837718,-0.298523
797.837514,-0.298404
798.83731,-0.298279
799.837107,-0.298146
800.836903,-0.298006
801.8367,-0.297859
802.836496,-0.297704
803.836292,-0.297541
804.836089,-0.29737
805.835885,-0.297191
806.835681,-0.297003
807.835478,-0.296808
808.835274,-0.296603
809.835071,-0.29639
810.834867,-0.296169
811.834663,-0.295939
812.83446,-0.2957
813.834256,-0.295452
814.834053,-0.295195
815.833849,-0.29493
816.833645,-0.294656
817.833442,-0.294373
818.833238,-0.29408
819.833034,-0.293779
820.832831,-0.293469
821.832627,-0.29315
822.832424,-0.292822
823.83222,-0.292485
824.832016,-0.292139
825.831813,-0.291784
826.831609,-0.291419
827.831406,-0.291045
828.831202,-0.290662
829.830998,-0.290268
830.830795,-0.289865
831.830591,-0.289452
832.830387,-0.289029
833.830184,-0.288595
834.82998,-0.28815
835.829777,-0.287695
836.829573,-0.287228
837.829369,-0.286749
838.829166,-0.286259
839.828962,-0.285756
840.828759,-0.28524
841.828555,-0.284712
842.828351,-0.284171
843.828148,-0.283615
844.827944,-0.283046
845.82774,-0.282463
846.827537,-0.281865
847.827333,-0.281252
848.82713,-0.280624
849.826926,-0.279981
850.826722,-0.279322
851.826519,-0.278648
852.826315,-0.277958
853.826111,-0.277253
854.825908,-0.276532
855.825704,-0.275795
856.825501,-0.275042
857.825297,-0.274274
858.825093,-0.273491
859.82489,-0.272693
860.824686,-0.271879
861.824483,-0.271051
862.824279,-0.270208
863.824075,-0.269351
864.823872,-0.26848
865.823668,-0.267595
866.823464,-0.266697
867.823261,-0.265785
868.823057,-0.26486
869.822854,-0.263922
870.82265,-0.262971
871.822446,-0.262009
872.822243,-0.261034
873.822039,-0.260047
874.821836,-0.259049
875.821632,-0.258039
876.821428,-0.257018
877.821225,-0.255987
878.821021,-0.254945
879.820817,-0.253892
880.820614,-0.25283
881.82041,-0.251758
882.820207,-0.250677
883.820003,-0.249587
884.819799,-0.248489
885.819596,-0.247382
886.819392,-0.246267
887.819189,-0.245145
888.818985,-0.244015
889.818781,-0.242879
890.818578,-0.241736
891.818374,-0.240587
892.81817,-0.239432
893.817967,-0.238271
894.817763,-0.237106
895.81756,-0.235936
896.817356,-0.234761
897.817152,-0.233582
898.816949,-0.232399
899.816745,-0.231213
900.816542,-0.230023
901.816338,-0.22883
902.816134,-0.227635
903.815931,-0.226437
904.815727,-0.225237
905.815523,-0.224034
906.81532,-0.22283
907.815116,-0.221624
908.814913,-0.220416
909.814709,-0.219207
910.814505,-0.217997
911.814302,-0.216786
912.814098,-0.215573
913.813895,-0.214361
914.813691,-0.213147
915.813487,-0.211933
916.813284,-0.210719
917.81308,-0.209505
918.812876,-0.20829
919.812673,-0.207076
920.812469,-0.205862
921.812266,-0.204649
922.812062,-0.203436
923.811858,-0.202224
924.811655,-0.201013
925.811451,-0.199804
926.811247,-0.198595
927.811044,-0.197388
928.81084,-0.196182
929.810637,-0.194979
930.810433,-0.193777
931.810229,-0.192576
932.810026,-0.191379
933.809822,-0.190183
934.809619,-0.188989
935.809415,-0.187798
936.809211,-0.186609
937.809008,-0.185423
938.808804,-0.184239
939.8086,-0.183057
940.808397,-0.181879
941.808193,-0.180702
942.80799,-0.179529
943.807786,-0.178358
944.807582,-0.17719
945.807379,-0.176025
946.807175,-0.174863
947.806972,-0.173704
948.806768,-0.172548
949.806564,-0.171395
950.806361,-0.170246
951.806157,-0.1691
952.805953,-0.167957
953.80575,-0.166818
954.805546,-0.165682
955.805343,-0.164551
956.805139,-0.163423
957.804935,-0.1623
958.804732,-0.16118
959.804528,-0.160065
960.804325,-0.158954
961.804121,-0.157847
962.803917,-0.156745
963.803714,-0.155647
964.80351,-0.154554
965.803306,-0.153465
966.803103,-0.152382
967.802899,-0.151303
968.802696,-0.150229
969.802492,-0.149161
970.802288,-0.148097
971.802085,-0.147039
972.801881,-0.145986
973.801678,-0.144939
974.801474,-0.143897
975.80127,-0.142861
976.801067,-0.14183
977.800863,-0.140806
978.800659,-0.139788
979.800456,-0.138776
980.800252,-0.13777
981.800049,-0.136771
982.799845,-0.135779
983.799641,-0.134793
984.799438,-0.133814
985.799234,-0.132843
986.799031,-0.131878
987.798827,-0.130921
988.798623,-0.129971
989.79842,-0.129028
990.798216,-0.128093
991.798012,-0.127166
992.797809,-0.126246
993.797605,-0.125334
994.797402,-0.124431
995.797198,-0.123535
996.796994,-0.122647
997.796791,-0.121768
998.796587,-0.120897
999.796383,-0.120034
1000.79618,-0.11918
1001.795976,-0.118334
1002.795773,-0.117498
1003.795569,-0.11667
1004.795365,-0.115851
1005.795162,-0.115041
1006.794958,-0.11424
1007.794755,-0.113448
1008.794551,-0.112666
1009.794347,-0.111893
1010.794144,-0.111129
1011.79394,-0.110375
1012.793736,-0.109631
1013.793533,-0.108896
1014.793329,-0.10817
1015.793126,-0.107455
1016.792922,-0.106749
1017.792718,-0.106052
1018.792515,-0.105365
1019.792311,-0.104688
1020.792108,-0.10402
1021.791904,-0.103362
1022.7917,-0.102713
1023.791497,-0.102074
1024.791293,-0.101444
1025.791089,-0.100824
1026.790886,-0.100212
1027.790682,-0.09961
1028.790479,-0.099018
1029.790275,-0.098434
1030.790071,-0.097859
1031.789868,-0.097293
1032.789664,-0.096736
1033.789461,-0.096188
1034.789257,-0.095649
1035.789053,-0.095118
1036.78885,-0.094595
1037.788646,-0.094082
1038.788442,-0.093576
1039.788239,-0.093079
1040.788035,-0.09259
1041.787832,-0.092109
1042.787628,-0.091636
1043.787424,-0.091171
1044.787221,-0.090714
1045.787017,-0.090265
1046.786814,-0.089823
1047.78661,-0.08939
1048.786406,-0.088964
1049.786203,-0.088546
1050.785999,-0.088136
1051.785795,-0.087733
1052.785592,-0.087338
1053.785388,-0.086951
1054.785185,-0.086571
1055.784981,-0.086199
1056.784777,-0.085835
1057.784574,-0.085478
1058.78437,-0.085129
1059.784166,-0.084788
1060.783963,-0.084454
1061.783759,-0.084129
1062.783556,-0.08381
1063.783352,-0.0835
1064.783148,-0.083197
1065.782945,-0.082903
1066.782741,-0.082616
1067.782538,-0.082337
1068.782334,-0.082065
1069.78213,-0.081802
1070.781927,-0.081547
1071.781723,-0.081299
1072.781519,-0.081059
1073.781316,-0.080827
1074.781112,-0.080603
1075.780909,-0.080387
1076.780705,-0.080178
1077.780501,-0.079977
1078.780298,-0.079784
1079.780094,-0.079598
1080.779891,-0.079419
1081.779687,-0.079248
1082.779483,-0.079085
1083.77928,-0.078928
1084.779076,-0.078779
1085.778872,-0.078637
1086.778669,-0.078501
1087.778465,-0.078373
1088.778262,-0.07825
1089.778058,-0.078135
1090.777854,-0.078026
1091.777651,-0.077923
1092.777447,-0.077826
1093.777244,-0.077735
1094.77704,-0.07765
1095.776836,-0.077571
1096.776633,-0.077497
1097.776429,-0.077428
1098.776225,-0.077365
1099.776022,-0.077307
1100.775818,-0.077254
1101.775615,-0.077205
1102.775411,-0.077161
1103.775207,-0.077122
1104.775004,-0.077086
1105.7748,-0.077055
1106.774597,-0.077028
1107.774393,-0.077005
1108.774189,-0.076985
1109.773986,-0.076969
1110.773782,-0.076957
1111.773578,-0.076948
1112.773375,-0.076941
1113.773171,-0.076938
1114.772968,-0.076938
1115.772764,-0.07694
1116.77256,-0.076945
1117.772357,-0.076952
1118.772153,-0.076962
1119.77195,-0.076973
1120.771746,-0.076987
1121.771542,-0.077003
1122.771339,-0.07702
1123.771135,-0.07704
1124.770931,-0.07706
1125.770728,-0.077082
1126.770524,-0.077106
1127.770321,-0.07713
1128.770117,-0.077156
1129.769913,-0.077183
1130.76971,-0.07721
1131.769506,-0.077238
1132.769302,-0.077267
1133.769099,-0.077296
1134.768895,-0.077326
1135.768692,-0.077356
1136.768488,-0.077386
1137.768284,-0.077416
1138.768081,-0.077447
1139.767877,-0.077477
1140.767674,-0.077506
1141.76747,-0.077536
1142.767266,-0.077565
1143.767063,-0.077593
1144.766859,-0.077621
1145.766655,-0.077649
1146.766452,-0.077675
1147.766248,-0.077701
1148.766045,-0.077726
1149.765841,-0.07775
1150.765637,-0.077772
1151.765434,-0.077794
1152.76523,-0.077815
1153.765027,-0.077834
1154.764823,-0.077853
1155.764619,-0.07787
1156.764416,-0.077886
1157.764212,-0.077901
1158.764008,-0.077914
1159.763805,-0.077926
1160.763601,-0.077938
1161.763398,-0.077948
1162.763194,-0.077957
1163.76299,-0.077965
1164.762787,-0.077972
1165.762583,-0.077978
1166.76238,-0.077983
1167.762176,-0.077988
1168.761972,-0.077992
1169.761769,-0.077995
1170.761565,-0.077998
1171.761361,-0.078001
1172.761158,-0.078003
1173.760954,-0.078006
1174.760751,-0.078008
1175.760547,-0.078011
1176.760343,-0.078014
1177.76014,-0.078017
1178.759936,-0.078021
1179.759733,-0.078026
1180.759529,-0.078032
1181.759325,-0.078039
1182.759122,-0.078047
1183.758918,-0.078056
1184.758714,-0.078067
1185.758511,-0.078079
1186.758307,-0.078093
1187.758104,-0.078108
1188.7579,-0.078125
1189.757696,-0.078145
1190.757493,-0.078166
1191.757289,-0.078189
1192.757086,-0.078215
1193.756882,-0.078242
1194.756678,-0.078272
1195.756475,-0.078304
1196.756271,-0.078338
1197.756067,-0.078373
1198.755864,-0.078412
1199.75566,-0.078452
1200.755457,-0.078494
1201.755253,-0.078537
1202.755049,-0.078583
1203.754846,-0.07863
1204.754642,-0.078679
1205.754438,-0.078729
1206.754235,-0.078781
1207.754031,-0.078833
1208.753828,-0.078887
1209.753624,-0.078941
1210.75342,-0.078996
1211.753217,-0.079052
1212.753013,-0.079108
1213.75281,-0.079164
1214.752606,-0.07922
1215.752402,-0.079276
1216.752199,-0.079332
1217.751995,-0.079387
1218.751791,-0.079442
1219.751588,-0.079497
1220.751384,-0.07955
1221.751181,-0.079603
1222.750977,-0.079654
1223.750773,-0.079704
1224.75057,-0.079754
1225.750366,-0.079802
1226.750163,-0.079848
1227.749959,-0.079893
1228.749755,-0.079937
1229.749552,-0.079979
1230.749348,-0.08002
1231.749144,-0.080059
1232.748941,-0.080097
1233.748737,-0.080133
1234.748534,-0.080167
1235.74833,-0.0802
1236.748126,-0.080231
1237.747923,-0.080261
1238.747719,-0.080289
1239.747516,-0.080316
1240.747312,-0.080341
1241.747108,-0.080365
1242.746905,-0.080387
1243.746701,-0.080407
1244.746497,-0.080427
1245.746294,-0.080445
