x,y,height,bank_angle
-95.368114,-475.481532,19.041278,-0.294139
-92.405217,-480.569284,19.080108,-0.296044
-89.352208,-485.600242,19.167433,-0.297685
-86.193852,-490.564919,19.243202,-0.299053
-82.909071,-495.450441,19.245066,-0.300150
-79.474072,-500.232680,19.179021,-0.301005
-75.860011,-504.877207,19.100778,-0.301583
-72.057104,-509.366213,19.061168,-0.302207
-68.145207,-513.763669,19.081429,-0.302832
-64.204996,-518.135493,19.161225,-0.303469
-60.184528,-522.431117,19.233485,-0.304070
-56.005852,-526.575894,19.239320,-0.304566
-51.684336,-530.573452,19.229944,-0.304898
-47.255323,-534.449573,19.228317,-0.305052
-42.747798,-538.233506,19.180644,-0.305074
-38.158284,-541.917638,19.130681,-0.305051
-33.477147,-545.486020,19.133706,-0.305041
-28.696493,-548.919387,19.188595,-0.305073
-23.811075,-552.200735,19.277688,-0.305115
-18.824407,-555.325845,19.366351,-0.305105
-13.752581,-558.309631,19.404630,-0.304982
-8.615239,-561.182216,19.397901,-0.304720
-3.429070,-563.973443,19.388611,-0.304341
1.815573,-566.650425,19.381141,-0.303913
7.148218,-569.134752,19.357758,-0.303575
12.586097,-571.377895,19.307629,-0.303225
18.075258,-573.505303,19.259156,-0.302951
23.566391,-575.627681,19.246844,-0.302761
29.100621,-577.622293,19.272332,-0.302673
34.717244,-579.376014,19.326201,-0.302702
40.386133,-580.969643,19.385880,-0.302842
46.079276,-582.471665,19.433644,-0.303061
51.803705,-583.835328,19.469824,-0.303301
57.569730,-585.003951,19.497135,-0.303477
63.372879,-585.987472,19.520301,-0.303627
69.197732,-586.844382,19.546791,-0.303705
75.036271,-587.588545,19.578493,-0.303736
80.893208,-588.159525,19.608038,-0.303754
86.766450,-588.548173,19.633583,-0.303794
92.647751,-588.791282,19.657556,-0.303862
98.532336,-588.904352,19.680028,-0.303937
104.417776,-588.890412,19.699623,-0.303990
110.301478,-588.745499,19.717926,-0.303994
116.180444,-588.450189,19.740701,-0.303934
122.049863,-587.988749,19.767387,-0.303800
127.898156,-587.325126,19.780524,-0.303603
133.715144,-586.437877,19.763524,-0.303350
139.504357,-585.375737,19.730956,-0.303040
145.273205,-584.204794,19.711410,-0.302657
151.022211,-582.945105,19.706905,-0.302194
156.739804,-581.543744,19.695187,-0.301756
162.407858,-579.954467,19.660274,-0.301212
168.003375,-578.133472,19.600337,-0.300711
173.558355,-576.188427,19.571569,-0.300306
179.119281,-574.263087,19.644664,-0.299998
184.629097,-572.210105,19.744126,-0.299736
190.027967,-569.873301,19.793760,-0.299438
195.338567,-567.327717,19.826922,-0.299019
200.596171,-564.680198,19.885540,-0.298404
205.798645,-561.931177,19.929576,-0.297704
210.941894,-559.071803,19.914615,-0.296603
216.013386,-556.084832,19.840443,-0.295195
221.001635,-552.961211,19.763286,-0.293469
225.902164,-549.701615,19.701730,-0.291419
230.722149,-546.323886,19.641248,-0.289029
235.473395,-542.850201,19.593187,-0.286259
240.166567,-539.298532,19.587713,-0.283046
244.808422,-535.680828,19.634368,-0.279322
249.395435,-531.994064,19.691999,-0.275795
253.923431,-528.234162,19.722926,-0.271051
258.389943,-524.400714,19.697491,-0.265785
262.792896,-520.494242,19.595407,-0.260047
267.118926,-516.504396,19.454328,-0.253892
271.343856,-512.410415,19.367374,-0.247382
275.466350,-508.213307,19.393092,-0.240587
