x,y,height,bank_angle
606.403638,-90.804158,20.425928,-0.190308
608.385294,-85.113469,20.437934,-0.193961
610.200769,-79.370371,20.461520,-0.197570
611.821501,-73.568620,20.493366,-0.201178
613.266053,-67.717467,20.535380,-0.204807
614.573933,-61.832498,20.595989,-0.208449
615.742537,-55.919890,20.665154,-0.212056
616.728371,-49.977088,20.721879,-0.215543
617.505870,-44.003315,20.754419,-0.218820
618.132756,-38.009073,20.794963,-0.221819
618.679555,-32.006651,20.883497,-0.224933
619.135539,-25.999016,20.981204,-0.227291
619.444027,-19.983839,21.010540,-0.229398
619.563103,-13.961234,20.926943,-0.231277
619.491510,-7.937587,20.781831,-0.232921
619.232841,-1.920117,20.625049,-0.234307
618.791486,4.083778,20.449445,-0.235424
618.172494,10.066852,20.218256,-0.236272
617.393770,16.026020,19.922865,-0.236851
616.487102,21.962583,19.574495,-0.237175
615.474800,27.879204,19.206560,-0.237279
614.354997,33.782251,18.894507,-0.237216
613.119016,39.676989,18.721954,-0.237019
611.737206,45.546971,18.721476,-0.236696
610.160968,51.358094,18.891276,-0.236271
608.365156,57.088715,19.210879,-0.235811
606.399220,62.759466,19.611298,-0.235395
604.330277,68.400427,20.010674,-0.235104
602.178263,74.018521,20.344787,-0.235029
599.887963,79.583130,20.575075,-0.235262
597.394883,85.059150,20.667141,-0.235605
596.011033,87.758170,20.621370,-0.236215
593.190976,93.084187,20.524081,-0.237111
590.260746,98.355011,20.464421,-0.238056
587.267160,103.587820,20.508662,-0.238946
584.172685,108.756159,20.609638,-0.239707
580.917798,113.822290,20.689900,-0.240276
577.480666,118.769951,20.716408,-0.240613
573.885597,123.609052,20.712430,-0.240709
570.160605,128.351755,20.704169,-0.240572
566.331429,133.008783,20.715885,-0.240228
562.401687,137.577100,20.740234,-0.239743
558.359190,142.044017,20.745622,-0.239218
554.196871,146.400738,20.721217,-0.238768
549.924547,150.651581,20.705909,-0.238481
545.553550,154.801826,20.747618,-0.238410
541.088350,158.848877,20.861627,-0.238556
536.512589,162.766528,20.983546,-0.238847
531.808414,166.527037,21.037027,-0.239159
526.986331,170.139922,21.007807,-0.239394
522.090314,173.658505,20.951902,-0.239536
517.136680,177.095016,20.917824,-0.239655
512.094348,180.391690,20.937157,-0.239855
506.931308,183.490158,21.035539,-0.240300
501.672053,186.425961,21.195119,-0.240877
496.367559,189.277379,21.379500,-0.241571
491.017821,192.030290,21.608673,-0.242269
485.607831,194.644484,21.917152,-0.242873
480.129536,197.109227,22.254006,-0.243343
474.585236,199.448455,22.488205,-0.243707
468.970791,201.634363,22.617118,-0.244018
463.279481,203.606664,22.731632,-0.244309
457.513712,205.342910,22.881933,-0.244577
451.697782,206.911881,23.014230,-0.244794
445.855442,208.383959,23.078113,-0.244938
439.990354,209.764955,23.099636,-0.244990
437.029481,210.449521,23.120364,-0.245013
431.131529,211.692661,23.168016,-0.244998
425.202565,212.764281,23.214302,-0.244966
419.239203,213.614468,23.227161,-0.244949
413.248387,214.266995,23.206237,-0.244976
407.241534,214.776951,23.164062,-0.245074
401.227250,215.172627,23.112198,-0.245260
395.207445,215.418295,23.057427,-0.245545
389.183790,215.479119,23.006836,-0.245926
383.159495,215.344259,22.965722,-0.246381
377.139604,215.042675,22.938984,-0.246869
371.129146,214.592856,22.929736,-0.247350
365.131683,214.004469,22.932811,-0.247775
359.150919,213.269001,22.938753,-0.248085
353.189593,212.387999,22.938500,-0.248216
347.251190,211.361775,22.923668,-0.248122
341.338072,210.199378,22.886188,-0.247788
335.452165,208.909040,22.822453,-0.247210
329.594722,207.497172,22.742328,-0.246376
323.765853,205.972758,22.658611,-0.245270
317.965828,204.342834,22.570827,-0.243886
312.194574,202.614924,22.459180,-0.242222
306.449983,200.802405,22.304625,-0.240269
300.731213,198.911963,22.127533,-0.238014
295.036326,196.951167,21.994640,-0.235448
289.363728,194.926042,21.971896,-0.232579
283.707538,192.853805,22.061653,-0.229430
278.061327,190.752463,22.196897,-0.225453
272.418453,188.640473,22.311217,-0.221843
266.780625,186.514411,22.380398,-0.218109
