x,y,z,bank_angle
-9.801901,347.681537,0.000000,-0.000000
-15.065788,346.155491,0.000000,-0.000000
-20.294690,344.565816,0.000000,-0.000000
-25.488275,342.913384,0.000000,-0.000000
-30.646207,341.199066,0.000000,-0.000000
-35.768151,339.423732,0.000000,-0.000000
-40.853774,337.588256,0.000000,-0.000000
-45.902741,335.693508,0.000000,-0.000000
-50.084484,334.075218,0.000000,-0.000000
-54.235630,332.408747,0.000000,-0.000000
-58.355888,330.694828,0.000000,-0.000000
-63.275202,328.599333,0.000000,-0.000000
-68.156323,326.448508,0.000000,-0.000000
-72.998916,324.243223,0.000000,-0.000000
-77.802647,321.984349,0.000000,-0.000000
-82.567181,319.672758,0.000000,-0.000000
-87.292185,317.309322,0.000000,-0.000000
-91.977323,314.894911,0.000000,-0.000000
-96.622261,312.430398,0.000000,-0.000000
-101.226665,309.916653,0.000000,-0.000000
-105.790199,307.354549,0.000000,-0.000000
-110.312531,304.744956,0.000000,-0.000000
-114.793325,302.088746,0.000000,-0.000000
-119.232247,299.386791,0.000000,-0.000000
-123.628963,296.639961,0.000000,-0.000000
-127.983137,293.849129,0.000000,-0.000000
-132.294436,291.015165,0.000000,-0.000000
-136.562525,288.138942,0.000000,-0.000000
-140.787070,285.221331,0.000000,-0.000000
-144.967736,282.263202,0.000000,-0.000000
-149.104189,279.265428,0.000000,-0.000000
-153.196095,276.228880,0.000000,-0.000000
-157.243118,273.154429,0.000000,-0.000000
-161.244925,270.042947,0.000000,-0.000000
-165.201181,266.895305,0.000000,-0.000000
-169.111551,263.712375,0.000000,-0.000000
-172.975702,260.495028,0.000000,-0.000000
-176.793299,257.244135,0.000000,-0.000000
-180.564006,253.960569,0.000000,-0.000000
-184.287491,250.645200,0.000000,-0.000000
-187.963418,247.298899,0.000000,-0.000000
-191.591453,243.922539,0.000000,-0.000000
-195.171262,240.516991,0.000000,-0.000000
-198.702510,237.083125,0.000000,-0.000000
-202.184862,233.621815,0.000000,-0.000000
-205.617985,230.133930,0.000000,-0.000000
-209.001543,226.620343,0.000000,-0.000000
-212.335203,223.081924,0.000000,-0.000000
-215.618630,219.519546,0.000000,-0.000000
-218.851489,215.934080,0.000000,-0.000000
-222.033446,212.326397,0.000000,-0.000000
-225.164167,208.697368,0.000000,-0.000000
-228.243317,205.047866,0.000000,-0.000000
-231.270562,201.378760,0.000000,-0.000000
-234.245567,197.690924,0.000000,-0.000000
-237.167998,193.985228,0.000000,-0.000000
-240.037520,190.262544,0.000000,-0.000000
-242.853799,186.523743,0.000000,-0.000000
-245.616501,182.769697,0.000000,-0.000000
-248.325291,179.001277,0.000000,-0.000000
-250.979834,175.219354,0.000000,-0.000000
-253.579797,171.424801,0.000000,-0.000000
-256.124844,167.618487,0.000000,-0.000000
-258.614642,163.801286,0.000000,-0.000000
-261.048856,159.974067,0.000000,-0.000000
-263.427151,156.137704,0.000000,-0.000000
-265.749193,152.293066,0.000000,-0.000000
-268.014648,148.441026,0.000000,-0.000000
-270.223181,144.582455,0.000000,-0.000000
-272.374457,140.718225,0.000000,-0.000000
