x,y,height,bank_angle
-123.797491,-315.320721,37.693980,-0.231714
-124.514080,-321.212458,37.673157,-0.235466
-125.198275,-327.108019,37.652325,-0.239247
-125.988304,-332.990743,37.650597,-0.243058
-126.693744,-338.886051,37.634808,-0.246902
-127.202114,-344.801376,37.596067,-0.250780
-127.485433,-350.729537,37.549458,-0.254687
-127.602188,-356.664148,37.525701,-0.258609
-127.670456,-362.600030,37.562071,-0.262518
-127.716466,-368.535248,37.627838,-0.266372
-127.675143,-374.469910,37.622323,-0.270133
-127.483244,-380.400358,37.552657,-0.273178
-127.113568,-386.323356,37.551169,-0.276700
-126.558561,-392.233407,37.652325,-0.280048
-125.793032,-398.117835,37.718809,-0.283185
-124.811480,-403.972474,37.705135,-0.286091
-123.712284,-409.807767,37.658735,-0.288766
-122.503245,-415.618608,37.617447,-0.291218
-121.099166,-421.384196,37.602917,-0.293448
-119.508029,-427.104197,37.602526,-0.295438
-117.795740,-432.787983,37.554861,-0.297168
-115.935209,-438.420010,37.456609,-0.298627
-113.880992,-443.985968,37.376956,-0.299814
-111.687850,-449.504670,37.345884,-0.300743
-109.444165,-455.004592,37.356828,-0.301474
-107.138544,-460.475978,37.369214,-0.302105
-104.682573,-465.877858,37.323956,-0.302726
-102.000184,-471.170250,37.233984,-0.303257
-99.097243,-476.348264,37.178688,-0.303878
-96.067869,-481.455726,37.201120,-0.304417
-93.003318,-486.539991,37.282572,-0.304807
-89.868922,-491.578951,37.362179,-0.305019
-86.577439,-496.518194,37.387940,-0.305077
-83.111845,-501.340903,37.353612,-0.305056
-79.501633,-506.054142,37.286512,-0.305039
-75.722430,-510.626016,37.222898,-0.305065
-71.789543,-515.068428,37.182250,-0.305110
-67.791641,-519.455951,37.207007,-0.305113
-63.735743,-523.789056,37.305156,-0.305012
-59.554886,-528.001819,37.379010,-0.304773
-55.226597,-532.063225,37.349247,-0.304409
-50.778274,-535.992086,37.244081,-0.303985
-46.252848,-539.831425,37.110249,-0.303640
-41.665156,-543.597720,37.026725,-0.303279
-37.019729,-547.295457,37.053036,-0.303034
-34.620022,-549.157763,37.111096,-0.302878
-29.812867,-552.637848,37.221304,-0.302719
-24.877370,-555.935349,37.353162,-0.302669
-19.842416,-559.081079,37.472573,-0.302737
-14.728289,-562.092851,37.514497,-0.302909
-9.541927,-564.978059,37.457388,-0.303141
-4.299889,-567.768317,37.358532,-0.303375
0.992619,-570.462148,37.305956,-0.303561
6.356389,-572.998817,37.325343,-0.303674
11.825792,-575.292789,37.333106,-0.303724
17.361153,-577.438949,37.304616,-0.303744
22.903655,-579.570493,37.307769,-0.303771
28.488227,-581.576090,37.375350,-0.303825
34.158985,-583.321954,37.474233,-0.303900
39.890830,-584.871151,37.554767,-0.303969
45.646933,-586.331005,37.617152,-0.303997
51.420459,-587.712788,37.690726,-0.303973
57.226157,-588.935469,37.766655,-0.303876
63.076703,-589.926986,37.811653,-0.303709
68.960569,-590.728949,37.830626,-0.303483
74.859176,-591.409163,37.864816,-0.303203
80.771103,-591.935460,37.921169,-0.302859
86.696921,-592.277892,37.963908,-0.302436
92.630706,-592.462590,37.979893,-0.301935
98.566653,-592.536018,38.007910,-0.301392
104.501676,-592.527685,38.081313,-0.300869
110.435618,-592.420438,38.182430,-0.300429
116.368049,-592.174443,38.284898,-0.300092
122.289577,-591.735835,38.380148,-0.299823
128.182390,-591.039785,38.452805,-0.299547
134.042565,-590.103419,38.487073,-0.299177
139.889298,-589.068153,38.497196,-0.298740
145.727521,-587.994778,38.509119,-0.298006
151.531408,-586.765669,38.523286,-0.297003
157.280740,-585.285427,38.518810,-0.295700
162.969911,-583.581488,38.490405,-0.294080
168.591767,-581.679423,38.439986,-0.292139
174.192344,-579.713560,38.422197,-0.289865
